parent_alias,alias,name,datatype,cardinality,ontology_class,parent_property,description,collection_name,required,searchable,exportable,sortorder
,name,Name,string,1,http://www.cidoc-crm.org/cidoc-crm/E41_Appellation,http://www.cidoc-crm.org/cidoc-crm/P1_is_identified_by,Human-readable building name.,,true,true,true,1
,location,Location,semantic,1,http://www.cidoc-crm.org/cidoc-crm/E53_Place,http://www.cidoc-crm.org/cidoc-crm/P53_has_former_or_current_location,Semantic wrapper for the building's spatial location.,,false,false,true,2
location,footprint,Footprint,geojson-feature-collection,1,http://www.cidoc-crm.org/cidoc-crm/E94_Space_Primitive,http://www.cidoc-crm.org/cidoc-crm/P168_place_is_defined_by,2D polygon footprint of the building.,,false,false,true,3
,gem_taxonomy,GEM taxonomy,concept,1,http://www.cidoc-crm.org/cidoc-crm/E55_Type,http://www.cidoc-crm.org/cidoc-crm/P2_has_type,Structural classification drawn from the GEM Building Taxonomy v3 subset shipped with this demo.,GEMTaxonomy,false,true,true,4
,heritage_status,Heritage status,concept,1,http://www.cidoc-crm.org/cidoc-crm/E55_Type,http://www.cidoc-crm.org/cidoc-crm/P2_has_type,"Listed, candidate or non-listed heritage designation.",HeritageStatus,false,true,true,5
,service_roles,Service roles,concept-list,n,http://www.cidoc-crm.org/cidoc-crm/E55_Type,http://www.cidoc-crm.org/cidoc-crm/P2_has_type,"Critical-service roles the building fills (shelter, hospital, school, fire station, etc.). Repeatable.",ServiceRole,false,true,true,6
,cluster_type,Cluster type,concept,1,http://www.cidoc-crm.org/cidoc-crm/E55_Type,http://www.cidoc-crm.org/cidoc-crm/P2_has_type,"Urban cluster category (CBD, residential, industrial, heritage, coastal, port, peri-urban).",ClusterType,false,true,true,7
,height_dimension,Height dimension,semantic,1,http://www.cidoc-crm.org/cidoc-crm/E54_Dimension,http://www.cidoc-crm.org/cidoc-crm/P43_has_dimension,Semantic wrapper holding the building-height measurement.,,false,false,true,8
height_dimension,height_m,Height (m),number,1,http://www.cidoc-crm.org/cidoc-crm/E60_Number,http://www.cidoc-crm.org/cidoc-crm/P90_has_value,Building height in metres.,,false,false,true,9
,production,Production event,semantic,1,http://www.cidoc-crm.org/cidoc-crm/E12_Production,http://www.cidoc-crm.org/cidoc-crm/P108i_was_produced_by,Construction (production) event of the building.,,false,false,true,10
production,production_timespan,Production time-span,semantic,1,http://www.cidoc-crm.org/cidoc-crm/E52_Time-Span,http://www.cidoc-crm.org/cidoc-crm/P4_has_time-span,Time-span attached to the construction event.,,false,false,true,11
production_timespan,age_band_years,Age band,string,1,http://www.cidoc-crm.org/cidoc-crm/E62_String,http://www.cidoc-crm.org/cidoc-crm/P3_has_note,"Construction-decade band label (pre-1900, 1900-1950, 1950-1980, 1980-2000, post-2000).",,false,false,true,12
,site,Site,resource-instance,1,http://www.cidoc-crm.org/cidoc-crm/E53_Place,http://www.cidoc-crm.org/cidoc-crm/P53_has_former_or_current_location,Containing Site (ward or administrative area).,,false,true,true,13
,notes,Notes,string,1,http://www.cidoc-crm.org/cidoc-crm/E62_String,http://www.cidoc-crm.org/cidoc-crm/P3_has_note,Free-text reviewer notes.,,false,false,true,14
